especie	poblacion	provincia	orden_reg	año_plant	pulgon	cochinilla	altura_cm	estado	riego	rec_periodicidad_poda	ultima_poda
ENCINA	MADRID	MADRID	5	2004	NO	SI	459	SANO	GOTEO	NO PODA	ABRIL
ENCINA	MADRID	MADRID	6	2013	NO	SI	1340	ENFERMO	NULL	NO PODA	NO REGISTRADA
ENCINA	MADRID	MADRID	7	2010	NO	SI	634	SANO	NULL	12 MESES	NO REGISTRADA
ENCINA	MADRID	MADRID	8	2001	NO	SI	1182	ENFERMO	NULL	12 MESES	ENERO
ENCINA	MADRID	MADRID	9	2010	NO	SI	103	SANO	GOTEO	12 MESES	ENERO
ENCINA	MADRID	MADRID	10	2003	SI	SI	1177	ENFERMO	GOTEO	NO PODA	NO REGISTRADA
ENCINA	MADRID	MADRID	11	2005	SI	SI	1444	ENFERMO	GOTEO	NO PODA	ENERO
ENCINA	MADRID	MADRID	12	2001	NO	NO	734	SANO	GOTEO	12 MESES	NO REGISTRADA
ENCINA	MADRID	MADRID	13	2000	NO	NO	1018	SANO	GOTEO	NO PODA	NO REGISTRADA
ENCINA	MADRID	MADRID	14	2007	NO	NO	900	SANO	GOTEO	12 MESES	FEBRERO
ENCINA	MADRID	MADRID	15	2005	NO	NO	846	SANO	GOTEO	NO PODA	ENERO
ENCINA	MADRID	MADRID	16	2007	NO	NO	390	SANO	ASPERSOR	6 MESES	NO REGISTRADA
ENCINA	MADRID	MADRID	17	2010	NO	NO	408	ENFERMO	NULL	12 MESES	ENERO
ENCINA	MADRID	MADRID	18	2002	NO	NO	1225	ENFERMO	ASPERSOR	NO PODA	ABRIL
ENCINA	MADRID	MADRID	19	2000	NO	NO	992	SANO	NULL	12 MESES	ABRIL
ENCINA	MADRID	MADRID	20	2001	SI	NO	384	SANO	ASPERSOR	NO PODA	ABRIL
ENCINA	MADRID	MADRID	21	2009	NO	NO	923	SANO	NULL	12 MESES	ABRIL
ENCINA	MADRID	MADRID	22	2003	NO	NO	377	ENFERMO	NULL	NO PODA	ABRIL
ENCINA	MADRID	MADRID	23	2000	NO	NO	1018	ENFERMO	NULL	NO PODA	NO REGISTRADA
ENCINA	MADRID	MADRID	24	1998	SI	NO	911	SANO	NULL	12 MESES	MAYO
PINO ALBAR	AZUQUECA DE HENARES	GUADALAJARA	1	2006	NO	NO	685	SANO	GOTEO	NO PODA	NO REGISTRADA
PINO ALBAR	AZUQUECA DE HENARES	GUADALAJARA	2	2007	SI	NO	835	ENFERMO	GOTEO	12 MESES	NO REGISTRADA
PINO ALBAR	AZUQUECA DE HENARES	GUADALAJARA	3	2005	NO	NO	1157	ENFERMO	GOTEO	12 MESES	NO REGISTRADA
PINO ALBAR	AZUQUECA DE HENARES	GUADALAJARA	4	1999	NO	NO	367	SANO	GOTEO	12 MESES	ABRIL
PINO ALBAR	AZUQUECA DE HENARES	GUADALAJARA	5	1999	NO	NO	266	SANO	GOTEO	12 MESES	NO REGISTRADA
PINO ALBAR	AZUQUECA DE HENARES	GUADALAJARA	6	2000	NO	SI	427	SANO	NULL	6 MESES	ENERO
PINO ALBAR	AZUQUECA DE HENARES	GUADALAJARA	7	2004	NO	SI	147	SANO	NULL	NO PODA	NO REGISTRADA
PINO CARRASCO	TARACENA	GUADALAJARA	1	2011	NO	SI	744	SANO	NULL	NO PODA	ABRIL
PINO CARRASCO	TARACENA	GUADALAJARA	2	2004	NO	SI	610	ENFERMO	NULL	NO PODA	FEBRERO
PINO CARRASCO	TARACENA	GUADALAJARA	3	2005	NO	SI	1285	ENFERMO	GOTEO	NO PODA	NO REGISTRADA
PINO CARRASCO	TARACENA	GUADALAJARA	4	2011	NO	NO	188	ENFERMO	NULL	NO PODA	NO REGISTRADA
PINO CARRASCO	TARACENA	GUADALAJARA	5	2002	NO	NO	1382	SANO	NULL	12 MESES	ENERO
PINO CARRASCO	TARACENA	GUADALAJARA	6	2015	SI	NO	1400	ENFERMO	NULL	12 MESES	NO REGISTRADA
PINO CARRASCO	TARACENA	GUADALAJARA	7	2001	SI	NO	1483	ENFERMO	NULL	NO PODA	ABRIL
PINO CARRASCO	TARACENA	GUADALAJARA	8	2013	SI	NO	1295	SANO	NULL	NO PODA	ENERO
PINO CARRASCO	TARACENA	GUADALAJARA	9	2011	NO	NO	1372	SANO	NULL	NO PODA	ENERO
PINO CARRASCO	TARACENA	GUADALAJARA	10	2002	NO	NO	822	SANO	NULL	12 MESES	ABRIL
PINO CARRASCO	TARACENA	GUADALAJARA	11	2011	NO	NO	526	SANO	GOTEO	NO PODA	ABRIL
PINO CARRASCO	TARACENA	GUADALAJARA	12	1999	NO	NO	944	SANO	GOTEO	NO PODA	ABRIL
PINO CARRASCO	TARACENA	GUADALAJARA	13	2007	NO	NO	1409	SANO	GOTEO	12 MESES	ABRIL
ROBLE CONTINENTAL	VALDEGRUDAS	GUADALAJARA	1	2011	NO	NO	508	SANO	GOTEO	NO PODA	ABRIL
ROBLE CONTINENTAL	VALDEGRUDAS	GUADALAJARA	2	2000	NO	NO	293	SANO	GOTEO	12 MESES	NO REGISTRADA
ROBLE CONTINENTAL	VALDEGRUDAS	GUADALAJARA	3	2004	NO	NO	1264	SANO	GOTEO	NO PODA	NO REGISTRADA
ROBLE CONTINENTAL	VALDEGRUDAS	GUADALAJARA	4	2006	NO	NO	187	SANO	GOTEO	6 MESES	MAYO
ROBLE CONTINENTAL	VALDEGRUDAS	GUADALAJARA	5	2015	NO	SI	752	SANO	NULL	6 MESES	NO REGISTRADA
ROBLE CONTINENTAL	VALDEGRUDAS	GUADALAJARA	6	2010	NO	SI	442	SANO	ASPERSOR	6 MESES	NO REGISTRADA
ROBLE CONTINENTAL	VALDEGRUDAS	GUADALAJARA	7	2002	NO	SI	1477	ENFERMO	ASPERSOR	6 MESES	ABRIL
ROBLE CONTINENTAL	VALDEGRUDAS	GUADALAJARA	8	2003	NO	SI	330	SANO	ASPERSOR	NO PODA	NO REGISTRADA
ROBLE CONTINENTAL	VALDEGRUDAS	GUADALAJARA	9	2011	NO	SI	420	ENFERMO	NULL	NO PODA	NO REGISTRADA
ROBLE MEDITERRÁNEO	ROBLEDO DE TORÍO	LEÓN	1	2011	NO	SI	1045	SANO	NULL	NO PODA	NO REGISTRADA
ROBLE MEDITERRÁNEO	ROBLEDO DE TORÍO	LEÓN	2	2008	NO	NO	370	ENFERMO	NULL	6 MESES	ABRIL
ROBLE MEDITERRÁNEO	ROBLEDO DE TORÍO	LEÓN	3	2009	SI	NO	183	SANO	ASPERSOR	NO PODA	ABRIL
ROBLE MEDITERRÁNEO	ROBLEDO DE TORÍO	LEÓN	4	2006	NO	NO	1431	ENFERMO	NULL	NO PODA	ABRIL
HAYA	VILLAVENTE	LEÓN	1	2007	NO	NO	1168	SANO	NULL	NO PODA	ABRIL
HAYA	VILLAVENTE	LEÓN	2	1998	NO	NO	974	ENFERMO	NULL	NO PODA	ENERO
HAYA	VILLAVENTE	LEÓN	3	2015	NO	NO	1238	ENFERMO	NULL	NO PODA	FEBRERO
HAYA	VILLAVENTE	LEÓN	4	2002	NO	NO	1108	ENFERMO	GOTEO	12 MESES	NO REGISTRADA
EUCALIPTO	RIVAS-VACIAMADRID	MADRID	1	2005	NO	NO	729	SANO	GOTEO	12 MESES	ENERO
EUCALIPTO	RIVAS-VACIAMADRID	MADRID	2	2007	NO	NO	518	SANO	GOTEO	12 MESES	NO REGISTRADA
EUCALIPTO	RIVAS-VACIAMADRID	MADRID	3	2013	NO	NO	433	ENFERMO	GOTEO	6 MESES	NO REGISTRADA
EUCALIPTO	RIVAS-VACIAMADRID	MADRID	4	2015	SI	NO	329	ENFERMO	GOTEO	6 MESES	MAYO
EUCALIPTO	RIVAS-VACIAMADRID	MADRID	5	2012	NO	NO	838	SANO	GOTEO	6 MESES	NO REGISTRADA
EUCALIPTO	RIVAS-VACIAMADRID	MADRID	6	1999	NO	SI	450	ENFERMO	GOTEO	NO PODA	ABRIL
EUCALIPTO	RIVAS-VACIAMADRID	MADRID	7	2003	NO	NO	912	ENFERMO	NULL	12 MESES	NO REGISTRADA
EUCALIPTO	RIVAS-VACIAMADRID	MADRID	8	2001	NO	NO	1030	ENFERMO	ASPERSOR	12 MESES	NO REGISTRADA
EUCALIPTO	RIVAS-VACIAMADRID	MADRID	9	2006	NO	NO	226	ENFERMO	NULL	NO PODA	NO REGISTRADA
EUCALIPTO	RIVAS-VACIAMADRID	MADRID	10	1998	NO	NO	590	SANO	ASPERSOR	NO PODA	ABRIL
EUCALIPTO	RIVAS-VACIAMADRID	MADRID	11	2011	NO	SI	724	ENFERMO	ASPERSOR	NO PODA	NO REGISTRADA
EUCALIPTO	RIVAS-VACIAMADRID	MADRID	12	2010	NO	NO	1253	SANO	ASPERSOR	6 MESES	NO REGISTRADA
CASTAÑO	RIVAS-VACIAMADRID	MADRID	1	2003	NO	NO	1321	ENFERMO	ASPERSOR	NO PODA	NO REGISTRADA
CASTAÑO	RIVAS-VACIAMADRID	MADRID	2	2007	NO	NO	845	SANO	NULL	12 MESES	NO REGISTRADA
CASTAÑO	RIVAS-VACIAMADRID	MADRID	3	2010	NO	NO	1287	SANO	NULL	NO PODA	NO REGISTRADA
CASTAÑO	RIVAS-VACIAMADRID	MADRID	4	2004	SI	NO	1061	SANO	NULL	NO PODA	ABRIL
CASTAÑO	COSLADA	MADRID	1	2003	NO	NO	470	SANO	NULL	12 MESES	NO REGISTRADA
CASTAÑO	COSLADA	MADRID	2	2013	NO	NO	883	SANO	GOTEO	NO PODA	NO REGISTRADA
CASTAÑO	COSLADA	MADRID	3	2009	NO	NO	1078	ENFERMO	GOTEO	6 MESES	NO REGISTRADA
CASTAÑO	COSLADA	MADRID	4	2005	NO	NO	372	SANO	GOTEO	6 MESES	NO REGISTRADA
CASTAÑO	COSLADA	MADRID	5	2000	NO	NO	334	SANO	GOTEO	6 MESES	ABRIL
CASTAÑO	COSLADA	MADRID	6	2008	NO	NO	1137	SANO	GOTEO	6 MESES	ENERO
CASTAÑO	COSLADA	MADRID	7	2000	NO	SI	909	ENFERMO	GOTEO	6 MESES	ENERO
CASTAÑO	COSLADA	MADRID	8	1998	NO	NO	1060	SANO	GOTEO	6 MESES	ENERO
SABINA	LEGANÉS	MADRID	1	1998	NO	NO	976	ENFERMO	NULL	12 MESES	ENERO
SABINA	LEGANÉS	MADRID	2	2004	NO	NO	1248	SANO	NULL	12 MESES	FEBRERO
SABINA	LEGANÉS	MADRID	3	2008	NO	NO	1073	ENFERMO	ASPERSOR	6 MESES	ABRIL
SABINA	LEGANÉS	MADRID	4	2010	NO	NO	218	SANO	ASPERSOR	NO PODA	NO REGISTRADA
SABINA	LEGANÉS	MADRID	5	1999	NO	NO	558	ENFERMO	ASPERSOR	NO PODA	MAYO
SABINA	COSLADA	MADRID	1	2006	NO	NO	925	SANO	ASPERSOR	NO PODA	NO REGISTRADA
ALCORNOQUE	OVIEDO	ASTURIAS	1	2002	SI	NO	605	ENFERMO	ASPERSOR	6 MESES	ABRIL
ALCORNOQUE	OVIEDO	ASTURIAS	2	2004	SI	NO	1070	ENFERMO	ASPERSOR	6 MESES	NO REGISTRADA
ALCORNOQUE	OVIEDO	ASTURIAS	3	2005	SI	NO	876	SANO	ASPERSOR	6 MESES	NO REGISTRADA
ALCORNOQUE	OVIEDO	ASTURIAS	4	2002	NO	NO	590	ENFERMO	ASPERSOR	12 MESES	MAYO
ALCORNOQUE	OVIEDO	ASTURIAS	5	2007	NO	NO	382	SANO	NULL	6 MESES	ABRIL
ALCORNOQUE	OVIEDO	ASTURIAS	6	2013	NO	NO	1334	ENFERMO	NULL	NO PODA	ABRIL
ALCORNOQUE	OVIEDO	ASTURIAS	7	2001	NO	NO	633	SANO	ASPERSOR	NO PODA	ABRIL
ALCORNOQUE	OVIEDO	ASTURIAS	8	2015	NO	NO	665	ENFERMO	NULL	NO PODA	ABRIL
ALCORNOQUE	OVIEDO	ASTURIAS	9	2005	NO	NO	1476	SANO	GOTEO	6 MESES	ABRIL
ALCORNOQUE	OVIEDO	ASTURIAS	10	2012	NO	NO	878	ENFERMO	GOTEO	NO PODA	ABRIL
ENCINA	VALLABONA	ASTURIAS	1	2004	NO	NO	717	ENFERMO	GOTEO	12 MESES	NO REGISTRADA
ENCINA	VALLABONA	ASTURIAS	2	2014	NO	SI	602	ENFERMO	GOTEO	12 MESES	NO REGISTRADA
ENCINA	VALLABONA	ASTURIAS	3	2013	NO	NO	103	SANO	NULL	12 MESES	ENERO
PINO ALBAR	ARGAME	ASTURIAS	1	2011	NO	NO	191	SANO	ASPERSOR	NO PODA	ENERO
PINO ALBAR	ARGAME	ASTURIAS	2	2003	NO	NO	872	SANO	NULL	6 MESES	ENERO
PINO ALBAR	ARGAME	ASTURIAS	3	1999	NO	NO	555	SANO	ASPERSOR	NO PODA	NO REGISTRADA
PINO ALBAR	ARGAME	ASTURIAS	4	2000	NO	NO	341	SANO	NULL	12 MESES	ABRIL
PINO ALBAR	ARGAME	ASTURIAS	5	2009	NO	NO	1465	SANO	NULL	12 MESES	NO REGISTRADA
PINO ALBAR	ARGAME	ASTURIAS	6	1998	SI	NO	1011	SANO	NULL	6 MESES	NO REGISTRADA
PINO ALBAR	ARGAME	ASTURIAS	7	2001	SI	NO	178	ENFERMO	GOTEO	12 MESES	FEBRERO
PINO ALBAR	ARGAME	ASTURIAS	8	2005	SI	NO	1332	ENFERMO	GOTEO	NO PODA	NO REGISTRADA
PINO ALBAR	ARGAME	ASTURIAS	9	2015	SI	NO	1361	ENFERMO	NULL	NO PODA	NO REGISTRADA
PINO ALBAR	ARGAME	ASTURIAS	10	2005	SI	SI	775	ENFERMO	ASPERSOR	NO PODA	ABRIL
ROBLE MEDITERRÁNEO	AZUCAICA	TOLEDO	1	2003	NO	SI	912	SANO	NULL	6 MESES	NO REGISTRADA
ROBLE MEDITERRÁNEO	AZUCAICA	TOLEDO	2	2000	NO	SI	111	ENFERMO	ASPERSOR	12 MESES	FEBRERO
ROBLE MEDITERRÁNEO	AZUCAICA	TOLEDO	3	2006	NO	SI	1103	ENFERMO	NULL	NO PODA	NO REGISTRADA
EUCALIPTO	VILASAR DE MAR	BARCELONA	1	2015	NO	SI	1482	SANO	NULL	12 MESES	MAYO
EUCALIPTO	VILASAR DE MAR	BARCELONA	2	1998	NO	NO	937	ENFERMO	NULL	6 MESES	NO REGISTRADA
EUCALIPTO	VILASAR DE MAR	BARCELONA	3	2011	NO	NO	917	SANO	ASPERSOR	NO PODA	ENERO
EUCALIPTO	VILASAR DE MAR	BARCELONA	4	2001	NO	NO	1027	ENFERMO	NULL	NO PODA	MAYO
SABINA	ALCALÁ DE HENARES	MADRID	1	2001	NO	NO	123	ENFERMO	ASPERSOR	NO PODA	NO REGISTRADA
SABINA	ALCALÁ DE HENARES	MADRID	2	2013	NO	NO	67	SANO	ASPERSOR	12 MESES	NO REGISTRADA
ALCORNOQUE	ALCOBENDAS	MADRID	1	2002	NO	NO	674	ENFERMO	GOTEO	6 MESES	MAYO
ALCORNOQUE	ALCOBENDAS	MADRID	2	2005	NO	NO	1089	SANO	GOTEO	6 MESES	NO REGISTRADA
ALCORNOQUE	ALCOBENDAS	MADRID	3	1998	NO	SI	487	ENFERMO	GOTEO	12 MESES	NO REGISTRADA
ALCORNOQUE	ALCOBENDAS	MADRID	4	2002	SI	NO	1044	ENFERMO	GOTEO	6 MESES	ABRIL
ALCORNOQUE	ALCOBENDAS	MADRID	5	2005	NO	NO	606	SANO	GOTEO	NO PODA	NO REGISTRADA
PINO CARRASCO	OVIEDO	ASTURIAS	1	2001	NO	NO	472	SANO	GOTEO	NO PODA	ABRIL
PINO CARRASCO	OVIEDO	ASTURIAS	2	2012	NO	NO	1205	SANO	GOTEO	6 MESES	NO REGISTRADA
PINO CARRASCO	OVIEDO	ASTURIAS	3	2010	NO	NO	241	SANO	NULL	NO PODA	MAYO
PINO CARRASCO	OVIEDO	ASTURIAS	4	1998	SI	SI	541	SANO	ASPERSOR	NO PODA	ABRIL
PINO CARRASCO	OVIEDO	ASTURIAS	5	2006	NO	NO	146	SANO	ASPERSOR	12 MESES	NO REGISTRADA
PINO CARRASCO	OVIEDO	ASTURIAS	6	2003	NO	NO	71	SANO	ASPERSOR	6 MESES	ENERO
ROBLE CONTINENTAL	VALLABONA	ASTURIAS	1	2013	NO	SI	126	SANO	ASPERSOR	12 MESES	FEBRERO
ROBLE CONTINENTAL	VALLABONA	ASTURIAS	2	2009	NO	NO	958	SANO	NULL	6 MESES	ABRIL
ROBLE CONTINENTAL	VALLABONA	ASTURIAS	3	2011	SI	NO	784	SANO	NULL	12 MESES	ENERO
ROBLE CONTINENTAL	VALLABONA	ASTURIAS	4	2004	SI	SI	1198	SANO	GOTEO	6 MESES	ABRIL
