pais	cod_direccion	uso	inicio_obras	fin_obras	plantas	altura_planta_cm	aforo_planta	metros_planta	altura_total_cm	material	extintores	cod_arquitec	cod_constructora	precio
Francia	A00560	público	14/07/2002	03/08/2004	19	377	106	550	7607	madera	139	1888	CCC0	6942000
Francia	A00561	público	12/01/2016	15/05/2017	22	337	103	305	7711	cemento	166	0235	CCC0	5194000
Francia	A00562	público	14/06/1994	23/08/1995	4	382	89	105	2028	hormigón	57	0235	CCC0	8276000
Francia	A00563	público	20/10/2009	27/07/2011	3	371	298	410	1140	madera	85	0550	EEE0	8374000
Francia	A00564	privado	22/08/1995	22/02/1997	71	280	215	115	19951	hormigón	75	0550	EEE0	4797000
Francia	A00565	privado	29/07/2013	03/01/2016	13	401	258	535	5428	cemento	84	0550	EEE0	863000
Francia	A00566	privado	02/11/1999	02/08/2001	5	350	234	490	1840	cemento	121	0277	DDD0	8377000
Francia	A00567	público	08/12/2011	19/09/2013	8	444	60	650	3749	resina	7	0277	EEE0	6673000
Francia	A00568	público	24/09/1996	15/05/1998	6	444	115	580	2928	cemento	20	0277	G000	3284000
Francia	A00569	privado	10/01/1994	17/04/1996	15	339	310	245	5414	resina	91	0277	BBB0	3429000
Francia	A005610	privado	27/04/2010	31/05/2011	5	315	183	365	1867	madera	56	0277	EEE0	2803000
Francia	A005611	privado	20/06/1993	21/11/1995	7	285	76	170	2213	hormigón	164	0550	G000	4084000
Francia	A005612	privado	04/08/1993	10/02/1994	19	415	275	325	7931	resina	81	0550	G000	7609000
Francia	A005613	público	19/09/1994	09/01/1996	13	429	185	190	5606	cemento	155	0550	G000	8539000
Francia	MK14	público	10/09/2002	16/10/2003	20	261	285	520	5498	cemento	92	0550	CCC0	7485000
Francia	MK15	público	25/11/1997	07/03/2000	16	388	193	605	6372	resina	94	0550	G000	6173000
Francia	MK16	público	24/12/2005	30/09/2007	7	262	266	565	1990	hormigón	123	0550	G000	6001000
Francia	MK17	público	11/08/1990	19/03/1993	2	316	299	325	917	cemento	91	0012	G000	6255000
Francia	MK18	privado	12/02/1998	04/09/1998	16	423	53	250	6800	cemento	152	0012	AAA0	165000
Francia	MK19	público	23/07/1993	10/08/1995	10	333	170	425	3610	cemento	111	0012	AAA0	610000
Francia	MK20	público	25/07/2006	03/11/2007	69	336	211	250	23511	resina	112	0012	AAA0	949000
Francia	MK21	privado	18/02/2004	25/03/2005	4	435	169	100	2011	cemento	89	0012	AAA0	3305000
Francia	MK22	público	27/01/2000	26/08/2002	11	429	190	275	4768	resina	77	0012	AAA0	6475000
Francia	J99001	privado	25/07/1999	13/05/2001	7	367	330	150	2888	resina	64	0012	DDD0	4274000
Francia	J99002	privado	15/10/2002	18/10/2003	73	361	22	570	26414	cemento	62	0277	FFF0	6564000
Francia	J99003	público	06/04/2004	02/06/2006	24	378	300	285	9412	resina	38	1888	FFF0	8646000
Francia	J99004	privado	27/08/1994	30/06/1995	16	363	337	475	6298	cemento	97	0277	DDD0	3144000
Francia	J99005	público	11/06/2005	07/02/2008	22	299	137	570	6768	cemento	13	0235	G000	8239000
Francia	J99006	público	22/06/2001	25/02/2003	5	426	347	300	2494	cristal	139	0235	G000	7437000
Francia	J99007	público	04/07/2016	12/12/2017	4	338	30	310	1807	cristal	7	0235	G000	5681000
Francia	J99008	público	01/08/2011	17/01/2013	22	440	293	580	10177	resina	63	1004	EEE0	7800000
Francia	J99009	privado	19/04/2007	24/10/2008	4	315	121	385	1310	madera	36	0550	G000	1647000
Alemania	J990010	público	14/11/2004	26/08/2006	25	297	350	200	7710	madera	112	NULL	G000	8804000
Alemania	J990011	privado	03/08/2000	29/04/2002	21	295	56	185	6357	hormigón	133	0277	CCC0	7546000
Alemania	J990012	privado	31/03/1998	18/01/1999	4	408	67	145	1651	madera	136	0277	CCC0	2002000
Alemania	J990013	público	21/01/1992	04/02/1993	19	367	303	270	7442	cemento	137	0277	CCC0	3796000
Alemania	J990014	público	15/09/1996	09/02/1999	17	266	251	105	5014	cemento	124	0277	CCC0	3955000
Alemania	J990015	privado	03/07/1993	26/07/1995	10	379	74	410	4106	resina	42	0277	FFF0	4385000
Alemania	J990016	privado	13/12/2001	24/04/2003	8	395	137	650	3619	cemento	31	NULL	FFF0	2307000
Alemania	J990017	público	03/02/2016	15/09/2017	17	420	118	495	7416	cemento	148	0550	BBB0	5433000
Alemania	J990018	público	23/03/1998	30/01/1999	21	354	337	475	7793	cemento	159	0550	AAA0	7961000
Alemania	J990019	público	02/12/2004	03/06/2006	73	277	163	475	20480	madera	68	0550	AAA0	5916000
Alemania	J990020	privado	15/11/2016	17/05/2019	11	415	242	405	4995	cemento	72	0012	AAA0	8094000
Alemania	00012A33	privado	08/07/1993	21/04/1994	14	254	162	580	3768	cemento	138	0012	AAA0	2842000
Alemania	J990022	privado	04/06/2013	14/08/2014	2	319	285	595	736	cemento	127	1004	AAA0	2253000
Italia	J9900-22	privado	06/07/1999	04/03/2002	14	374	306	525	5247	cristal	60	0012	FFF0	593000
Italia	J9900-23	privado	22/12/2005	12/05/2008	19	265	72	105	5052	cemento	142	0012	DDD0	482000
Italia	J9900-24	privado	21/06/2006	04/08/2008	16	297	88	345	5033	madera	151	0012	DDD0	272000
Italia	J9900-25	público	02/03/2014	21/04/2016	20	408	121	330	8284	hormigón	42	0012	DDD0	835000
Italia	J9900-26	público	09/05/2002	01/06/2003	8	391	236	405	3613	cemento	51	0235	DDD0	506000
Italia	J9900-27	público	24/05/1995	10/06/1996	6	295	131	260	1949	resina	33	NULL	EEE0	8396000
Italia	J9900-28	privado	02/01/1995	14/02/1996	7	252	291	645	2084	cemento	159	0277	FFF0	7193000
Italia	J9900-29	privado	11/05/2009	22/01/2010	10	446	284	370	4875	cemento	47	1888	FFF0	4184000
Italia	A0056-1	privado	14/04/2011	05/11/2013	16	263	192	430	4524	cemento	135	0277	BBB0	2723000
Italia	A0056-2	público	07/08/2014	20/03/2016	5	373	170	470	1998	resina	73	0277	FFF0	1301000
Italia	A0056-3	público	11/08/2010	06/10/2012	28	418	232	500	12168	cemento	26	0277	FFF0	3015000
Italia	A0056-4	privado	09/04/2002	18/10/2004	2	278	171	350	926	cemento	109	NULL	CCC0	3775000
Italia	A0056-5	público	22/10/2015	28/09/2017	16	336	232	400	5809	cemento	113	NULL	FFF0	8662000
Italia	A0056-6	público	13/09/2005	20/06/2007	6	259	286	545	2014	cemento	120	NULL	FFF0	6961000
Italia	A0056-7	público	15/11/2000	25/09/2002	13	401	157	370	5463	madera	48	0550	AAA0	1915000
Italia	A0056-8	público	29/07/2001	26/07/2002	4	286	208	490	1432	cemento	39	NULL	AAA0	2793000
Italia	A0056-9	público	25/05/1999	01/03/2000	10	283	337	200	3104	cemento	81	0012	AAA0	5402000
Italia	A0056-10	público	18/04/1996	26/06/1997	22	325	64	345	7205	cemento	74	0012	AAA0	3335000
Italia	A0056-11	público	06/02/1999	07/07/2001	24	374	257	620	9097	cemento	11	0012	EEE0	94000
Italia	A0056-12	privado	21/05/2000	09/02/2002	46	392	90	125	18307	madera	137	0550	FFF0	5789000
Italia	A0056-13	público	26/11/2013	16/01/2015	17	269	238	150	4825	cristal	12	0012	DDD0	8191000
Italia	A0056-14	público	30/07/2012	30/06/2014	24	426	238	325	10586	cristal	59	0012	FFF0	3563000
Italia	A0056-15	privado	04/12/2014	28/03/2016	3	261	60	225	869	hormigón	158	1004	FFF0	6865000
Italia	A0056-16	público	01/10/2000	12/06/2002	10	389	306	600	4320	cemento	161	0012	FFF0	5625000
Italia	A0056-17	privado	09/08/2005	25/10/2006	23	370	125	565	8978	cemento	90	0012	AAA0	5792000
Italia	A0056-18	privado	20/07/1993	04/07/1994	23	317	267	560	7748	cemento	119	0012	AAA0	1134000
Italia	A0056-19	público	30/12/2004	14/07/2005	3	306	193	520	942	cemento	159	0235	AAA0	4598000
Italia	A0056-20	público	31/10/1991	23/09/1992	2	254	210	390	628	cemento	157	0235	AAA0	5778000
Italia	A0056-21	privado	01/02/2006	14/11/2007	10	304	198	280	3473	hormigón	140	0235	AAA0	1279000
Italia	A0056-22	privado	11/08/1994	21/08/1996	15	396	293	120	6162	cemento	101	0235	AAA0	7716000
Italia	A0056-23	privado	29/06/1995	20/06/1996	18	310	203	165	5964	cemento	13	1888	BBB0	4386000
Italia	A0056-24	público	26/08/2009	15/10/2011	11	276	201	580	3196	hormigón	91	0277	FFF0	8931000
Italia	A0056-25	privado	19/11/2009	23/01/2012	17	297	225	275	5104	resina	18	0277	FFF0	2198000
Italia	A0056-26	público	12/07/1998	22/02/1999	3	296	209	225	1340	cristal	37	0550	FFF0	5254000
Italia	A0056-27	público	22/12/1990	11/02/1992	2	413	76	600	1102	cemento	100	0550	FFF0	8815000
Italia	A0056-28	privado	11/01/2002	13/07/2004	18	401	334	200	7561	cristal	92	NULL	CCC0	8307000
Italia	A0056-29	privado	05/12/2012	17/08/2013	6	276	106	285	1843	cristal	81	0012	CCC0	2239000
Italia	A0056-30	público	12/06/1994	28/11/1995	14	264	46	155	4054	cemento	123	0012	CCC0	6915000
Italia	A0056-31	privado	15/05/1991	04/04/1992	6	443	350	175	2772	madera	129	0012	EEE0	5608000
Italia	A0056-32	privado	16/01/2012	25/04/2013	29	366	308	100	11099	madera	147	0012	DDD0	2033000
Italia	A0056-33	público	23/08/1990	10/02/1992	20	253	214	260	5439	cemento	27	0012	DDD0	4289000
Italia	A0056-34	privado	26/10/2008	19/08/2010	6	287	338	580	1741	hormigón	54	0012	DDD0	7771000
Italia	A0056-35	público	21/05/1992	30/05/1993	13	263	305	645	3495	cristal	69	0012	DDD0	557000
Italia	A0056-36	privado	19/03/1993	03/10/1993	6	298	168	150	2137	cristal	138	0277	DDD0	709000
Italia	A0056-37	público	02/02/2016	11/08/2018	22	401	346	135	9066	hormigón	18	NULL	FFF0	7800000
Italia	A0056-38	público	17/06/2010	10/02/2013	20	342	111	220	7036	cemento	145	0235	FFF0	7779000
Italia	A0056-39	público	21/09/2000	08/09/2002	18	258	57	510	4842	madera	167	0235	FFF0	322000
Italia	A0056-40	público	06/08/2016	16/01/2019	8	426	312	290	3429	cemento	73	1004	FFF0	90000
Italia	A0056-41	privado	20/06/2015	16/06/2016	19	324	331	210	6368	hormigón	133	1004	FFF0	8134000
Italia	A0056-42	privado	15/12/2016	19/11/2018	6	340	139	635	2472	cemento	103	1004	FFF0	6830000
Italia	A0056-43	privado	01/08/1991	01/04/1994	13	306	102	590	4430	madera	44	1004	AAA0	956000
Italia	A0058-1	público	06/07/2012	21/11/2014	3	273	23	195	1241	cemento	11	1004	AAA0	4330000
Italia	0001-SSW	privado	03/01/2005	12/06/2006	16	423	299	130	6903	resina	31	0277	AAA0	361000
Italia	0002-SSW	público	24/09/1995	11/03/1998	2	373	186	365	1211	resina	75	0277	AAA0	4206000
Italia	0003-SSW	privado	30/06/1994	19/10/1996	2	311	346	315	703	cemento	139	0277	EEE0	8729000
Italia	0004-SSW	privado	28/06/1990	19/09/1991	19	283	263	315	5725	cemento	127	0277	DDD0	3495000
Italia	0005-SSW	privado	24/07/1996	10/10/1997	2	401	41	355	1003	cemento	62	1004	BBB0	723000
Italia	0006-SSW	público	08/04/2009	30/07/2011	24	399	290	580	9747	cemento	65	0550	FFF0	712000
Italia	0007-SSW	privado	12/07/1991	07/03/1993	8	392	25	160	3405	resina	22	1888	FFF0	118000
Italia	0008-SSW	público	05/03/2000	01/01/2001	20	420	192	540	8796	cemento	13	0012	FFF0	745000
Italia	0009-SSW	privado	03/05/1995	06/10/1996	21	327	253	285	7117	cemento	59	0012	CCC0	487000
Italia	00010-SSW	público	26/10/1990	23/04/1992	8	251	212	470	2443	madera	144	0012	CCC0	697000
Italia	00011-SSW	privado	03/11/1999	29/03/2002	2	412	169	200	947	resina	7	0012	CCC0	6285000
Italia	00012-SSW	público	03/02/1999	20/06/2000	2	313	203	285	1039	madera	119	0012	CCC0	2521000
Italia	00013-SSW	privado	18/07/1996	10/11/1997	7	419	266	245	3142	cemento	102	0550	FFF0	3782000
Italia	00014-SSW	privado	27/11/2005	14/09/2006	1	349	321	210	550	madera	126	NULL	AAA0	4622000
Italia	00015-SSW	público	02/04/2002	08/05/2003	8	370	270	350	3393	resina	143	0235	AAA0	2588000
Italia	00016-SSW	público	11/09/2010	12/12/2012	22	365	282	225	8151	resina	17	0235	AAA0	7185000
Italia	00017-SSW	público	04/05/2007	27/02/2009	18	271	203	515	5162	madera	107	0235	AAA0	5095000
Italia	00018-SSW	privado	29/09/2013	23/11/2015	24	385	280	275	9458	madera	98	NULL	AAA0	4424000
Italia	00019-SSW	privado	30/11/1992	12/11/1993	16	324	102	110	5642	resina	21	NULL	AAA0	110000
Japón	J9900-1	público	07/06/2006	04/01/2007	18	363	157	485	6979	cemento	25	NULL	FFF0	7583000
Japón	J9900-2	privado	25/05/2002	26/10/2003	5	342	78	460	1807	cristal	106	0277	FFF0	8098000
Japón	J9900-3	público	28/06/1995	29/08/1997	19	329	91	100	6707	cemento	48	0550	FFF0	498000
Japón	J9900-4	público	04/10/1991	23/04/1992	20	383	251	450	7752	cemento	66	NULL	EEE0	2672000
Japón	J9900-5	privado	09/09/2013	31/01/2016	4	311	306	250	1617	resina	31	0012	FFF0	749000
Japón	J9900-6	público	07/01/2003	07/03/2005	13	303	127	100	4295	madera	150	0012	FFF0	857000
Japón	J9900-7	público	06/05/1993	17/01/1995	18	356	192	240	6647	hormigón	119	0012	FFF0	396000
Japón	J9900-8	privado	10/05/2007	21/08/2008	19	317	166	595	6177	cemento	101	0012	DDD0	546000
Japón	J9900-9	privado	14/01/1995	04/01/1997	6	388	329	185	2532	cristal	128	0012	FFF0	893000
Japón	J9900-10	público	16/03/1994	03/10/1995	19	366	198	510	7287	hormigón	96	1004	FFF0	4012000
Japón	J9900-11	público	05/11/2016	16/05/2017	24	309	320	215	7841	cemento	88	1888	BBB0	5850000
Irlanda	YY001-45D	público	02/04/1994	27/08/1996	18	280	158	240	5532	cemento	32	0550	FFF0	6485000
Irlanda	YY002-45D	privado	08/12/1997	26/11/1999	13	410	326	355	5701	cemento	67	0235	AAA0	7051000
Irlanda	YY003-45D	público	01/08/1991	17/01/1993	18	263	210	255	5127	cemento	42	NULL	AAA0	7724000
Irlanda	YY004-45D	público	24/06/1997	28/05/1998	37	432	110	375	16215	cemento	137	0277	AAA0	8440000
Irlanda	YY005-45D	público	26/06/1990	04/12/1991	13	319	145	125	4408	hormigón	160	NULL	AAA0	7976000
Irlanda	YY006-45D	público	31/03/1994	16/08/1996	25	372	101	250	9338	cemento	160	0550	AAA0	1979000
Irlanda	YY007-45D	público	13/11/2011	28/12/2012	23	379	49	550	9010	cemento	116	0550	CCC0	787000
Suecia	YY008-45D	privado	02/11/2013	26/04/2016	9	270	308	100	2633	hormigón	44	0550	CCC0	7303000
Suecia	YY009-45D	privado	08/01/2011	26/02/2012	23	291	152	655	6990	cemento	61	0550	CCC0	5379000
Suecia	YY0010-77U	privado	20/12/1992	30/12/1994	15	389	177	305	5999	cemento	69	NULL	FFF0	7834000
Suecia	YY0011-77U	privado	20/12/2002	15/01/2004	13	307	295	440	4042	cemento	157	NULL	EEE0	7069000
Suecia	YY0012-77U	privado	13/10/1990	15/04/1991	17	338	319	325	5916	resina	106	0012	FFF0	4839000
Suecia	YY0013-77U	privado	04/12/2007	23/04/2010	15	372	69	220	5768	resina	149	0012	FFF0	3105000
Suecia	YY0014-77U	privado	12/10/2016	02/12/2018	15	387	326	445	5925	cristal	44	0012	EEE0	2091000
Suecia	YY0015-77U	público	12/10/2015	20/06/2018	19	335	202	250	6740	cemento	31	0012	EEE0	3610000
Suecia	YY0016-77U	privado	01/07/2001	22/02/2004	5	417	56	395	2252	madera	62	0012	FFF0	3123000
Suecia	YY0017-77U	público	02/06/2002	07/10/2004	17	372	125	160	6691	resina	43	1004	FFF0	6894000
Suecia	YY0018-77U	privado	07/04/1999	02/04/2000	23	443	142	345	10356	cemento	120	0235	BBB0	6997000
Suecia	YY0019-77U	público	17/04/2008	19/11/2009	6	434	316	225	2628	hormigón	159	0235	FFF0	319000
Suecia	YY0020-77U	público	28/02/2017	21/03/2018	18	393	21	100	7207	cemento	126	0235	DDD0	708000
Suecia	KG11111	público	13/02/2000	16/12/2000	20	350	246	430	7442	cemento	127	NULL	AAA0	962000
Suecia	KG11112	privado	15/01/2017	03/06/2018	9	421	239	100	4095	hormigón	106	0550	AAA0	724000
Suecia	KG11113	privado	24/04/2013	06/09/2015	13	264	143	320	3533	resina	20	0277	AAA0	144000
Suecia	KG11114	privado	29/12/2014	17/02/2017	22	370	281	555	8413	madera	31	NULL	AAA0	165000
Suecia	KG11115	público	19/06/2015	14/11/2017	23	321	71	195	7538	cemento	123	NULL	AAA0	811000
Suecia	00012A33	público	04/01/2002	01/01/2004	19	442	95	355	8506	cristal	106	NULL	CCC0	8524000
Suecia	KG11117	privado	21/01/2017	10/07/2018	24	277	183	145	6934	cemento	124	1888	CCC0	7729000
Suecia	KG11118	privado	14/03/2001	16/10/2002	21	333	235	460	7361	cemento	137	0012	CCC0	2333000
Brasil	KG11111	privado	18/06/1997	27/01/1998	14	390	96	165	5683	resina	121	0012	CCC0	2306000
Brasil	KG11112	privado	24/01/1994	24/09/1995	21	419	43	650	9172	cemento	29	0012	FFF0	3533000
Brasil	KG11113	público	29/04/1990	30/01/1991	14	430	181	310	6340	cemento	109	0012	EEE0	3453000
Brasil	00AA6S	privado	11/07/2015	25/10/2016	8	341	336	210	3099	cemento	16	0550	FFF0	8880000
Brasil	00AA7S	privado	14/11/2004	21/11/2005	12	358	294	100	4757	cemento	14	1004	FFF0	8989000
Brasil	00AA8S	privado	29/01/2016	18/07/2018	18	321	68	210	6214	cemento	125	NULL	FFF0	6210000
Brasil	00AA9S	público	13/02/2003	26/07/2004	13	410	24	130	5598	cemento	116	NULL	BBB0	3914000
Brasil	00AA10S	privado	11/09/2009	22/04/2011	12	325	97	570	4378	cristal	5	0235	DDD0	3623000
Brasil	00AA11S	público	16/12/1994	26/09/1995	11	276	229	230	3330	resina	14	1004	AAA0	2774000
Brasil	00AA12S	privado	06/02/2016	06/08/2018	10	380	334	265	4128	hormigón	74	NULL	AAA0	7577000
Brasil	00AA13S	público	16/07/1993	01/05/1995	12	397	280	120	4787	madera	121	0277	AAA0	7710000
Brasil	00AA14S	público	16/01/2001	18/12/2001	11	445	309	490	5008	resina	99	NULL	AAA0	7137000
Brasil	00BB15S	privado	31/01/1993	10/01/1994	4	341	43	530	1515	cemento	66	NULL	AAA0	8572000
Brasil	00BB16S	público	24/08/2003	05/08/2004	21	408	344	630	9027	cemento	167	NULL	AAA0	3785000
Brasil	00BB17S	público	24/01/2009	22/05/2011	17	360	272	580	6164	madera	8	NULL	DDD0	3645000
Brasil	00BB18S	público	10/02/1998	04/10/1998	9	268	215	415	2576	madera	101	0550	CCC0	6899000
Brasil	00BB19S	privado	24/08/2006	13/11/2007	15	353	107	550	5363	cemento	144	0012	CCC0	1853000
Brasil	00BB20S	público	30/09/1998	12/06/1999	20	416	234	535	8776	resina	57	0012	CCC0	6101000
Brasil	00BB21S	público	04/07/1996	20/12/1998	68	371	144	455	25408	cemento	89	0012	CCC0	847000
Brasil	00BB22S	privado	14/10/2008	25/05/2009	7	319	48	620	2554	resina	155	0012	CCC0	332000
Brasil	00CC1S	privado	24/02/2003	07/11/2004	6	296	79	470	1921	cristal	86	0012	FFF0	396000
Brasil	00CC2S	privado	17/11/2013	19/05/2014	10	320	158	470	3318	resina	35	1004	BBB0	524000
Brasil	00CC3S	privado	11/05/2017	07/07/2019	6	364	335	470	2417	cemento	51	1888	FFF0	114000
Brasil	00CC4S	privado	16/01/2015	04/10/2015	21	397	185	455	8448	cemento	100	0550	EEE0	517000
Brasil	00CC5S	público	21/05/2005	22/11/2007	22	437	273	370	10087	resina	127	1888	FFF0	276000
Brasil	00CC6S	público	03/12/2016	25/03/2018	1	287	310	640	464	cemento	34	1888	DDD0	2810000
Brasil	00CC7S	privado	27/10/2006	13/11/2007	17	270	136	195	4895	resina	32	1888	DDD0	7707000
Brasil	00CC8S	público	22/09/2010	04/06/2012	6	425	312	415	2939	cemento	51	1888	FFF0	3194000
Brasil	00CC9S	público	09/02/2005	01/08/2006	21	348	148	485	7796	hormigón	148	1004	FFF0	6153000
Brasil	00CC10S	privado	11/09/2008	23/10/2009	6	428	290	330	2735	cemento	82	0277	AAA0	6952000
China	A00560	público	02/01/1990	18/10/1990	11	302	318	645	3672	cristal	153	0235	AAA0	8138000
China	A00561	privado	12/05/2005	10/09/2007	5	260	124	475	1571	cemento	31	0235	AAA0	773000
China	A00562	privado	20/04/1995	17/05/1996	21	390	88	590	8443	cristal	39	0235	AAA0	256000
China	A00563	público	08/09/2008	14/08/2009	19	450	347	535	8627	cristal	49	0235	AAA0	815000
China	A00564	público	26/10/2003	09/09/2004	6	262	134	225	1946	resina	123	0012	AAA0	728000
China	A00565	público	22/05/1998	10/07/2000	10	406	79	150	4352	cemento	118	0012	AAA0	759000
China	A00566	privado	12/08/2014	14/08/2016	18	363	346	490	6597	resina	163	0012	DDD0	5670000
China	A00567	privado	13/08/2014	05/03/2015	22	403	306	135	9099	madera	89	0012	BBB0	6444000
China	A00568	público	10/02/2001	02/01/2002	25	292	217	415	7714	cemento	68	0235	DDD0	2879000
China	A00569	privado	05/10/2000	21/04/2001	12	295	288	330	3959	cemento	167	0235	CCC0	6844000
China	A005610	público	29/09/2006	12/11/2007	35	427	174	485	15349	cemento	170	0235	AAA0	288000
